실결제수량
11
42
146
165
165
87
69
57
17
2
2
12
25
41
63
51
44
27
15
6
5
2
14
6
2
3
10
2
6
5
1
1
30
59
94
178
129
157
79
37
14
7
2
2
20
22
19
14
13
19
6
4
1
10
28
73
69
62
32
21
14
6
1
5
3
3
3
12
4
6
1
1
1
3
13
5
5
5
1
1
1
4
13
27
33
55
78
47
19
19
8
5
3
1
3
10
7
10
6
7
3
2
2
1
54
140
147
254
269
251
185
102
50
16
12
4
17
4
5
2
1
1
1
9
24
18
22
34
65
33
10
5
1
